"","CO","PAR","ELA","ENC","COL","CON","SPI","INC","VAL","INF"
"CO",0.593,0.205,0.32,0.324,0.222,0.098,0.262,0.35,0.358,0.337
"PAR",0.205,0.734,0.343,0.438,0.22,0.104,0.275,0.17,0.264,0.275
"ELA",0.32,0.343,0.668,0.467,0.234,0.037,0.307,0.262,0.327,0.338
"ENC",0.324,0.438,0.467,0.938,0.306,0.165,0.391,0.381,0.505,0.443
"COL",0.222,0.22,0.234,0.306,0.459,0.182,0.308,0.239,0.333,0.298
"CON",0.098,0.104,0.037,0.165,0.182,0.387,0.114,0.213,0.23,0.182
"SPI",0.262,0.275,0.307,0.391,0.308,0.114,0.552,0.259,0.361,0.345
"INC",0.35,0.17,0.262,0.381,0.239,0.213,0.259,0.601,0.421,0.434
"VAL",0.358,0.264,0.327,0.505,0.333,0.23,0.361,0.421,0.75,0.496
"INF",0.337,0.275,0.338,0.443,0.298,0.182,0.345,0.434,0.496,0.719
"S.mean",3.693,3.485,3.184,3.284,3.426,3.487,3.28,3.827,3.223,3.833
"n.sample",319,319,319,319,319,319,319,319,319,319
